Requested,Remaining,Date,Item,Description,Size,Form,Whs,UPC,,Retail,Selling Price,Price Code,Extended,
10,10,5/1/2016,003411,ASTER PURPLE DOME,1,,160000,014949034118,,$14.99 ,$4.99 ,,$49.90 ,
10,10,5/1/2016,001531,ASTER WOOD'S PINK,1,,160000,014949008911,,$14.99 ,$4.99 ,,$49.90 ,
10,10,5/1/2016,001591,ASTILBE BRIDAL VEIL,1,,160000,014949000274,,$14.99 ,$4.99 ,,$49.90 ,
10,10,5/1/2016,001681,ASTILBE RED SENTINEL,1,,160000,014949010174,,$14.99 ,$4.99 ,,$49.90 ,
10,10,5/1/2016,012031,BER GOLDN NUGGET TM P9577 CBR,1,,160000,014949120316,,$18.99 ,$6.65 ,,$66.50 ,
10,10,5/1/2016,035232,BER T GOLDEN RUBY R PP16203,2,,160000,014949214626,,$43.99 ,$15.20 ,,$152.00 ,
15,15,5/1/2016,062932,BER T ORANGE ROCKET PP18411,2,,160000,014949348109,,$43.99 ,$15.20 ,,$228.00 ,
10,10,5/1/2016,408391,CAMPANULA CAR RAPIDO BLUE,1,,160000,014949413548,,$15.99 ,$5.46 ,,$54.60 ,
10,10,5/1/2016,408421,CAMPANULA GLOM GENTI BLUE PPAF,1,,160000,014949413586,,$15.99 ,$5.46 ,,$54.60 ,
5,5,5/1/2016,414542TE,CLEM BLVRD R CHROKEE TM P24171,2,TE,160000,014949429648,,$68.99 ,$25.18 ,,$125.90 ,
5,5,5/1/2016,414532TE,CLEM BLVRD R NINON TM PPAF,2,TE,160000,014949429730,,$68.99 ,$25.18 ,,$125.90 ,
5,5,5/1/2016,414612TE,CLEM RGL R EMPRESS TM P16072,2,TE,160000,014949429693,,$68.99 ,$25.18 ,,$125.90 ,
10,10,5/1/2016,022431,CLEMATIS INT BLUE RIBBONS,1,,160000,014949119181,,$24.99 ,$9.03 ,,$90.30 ,
5,5,5/1/2016,058262,COREOPSIS VER ROUTE 66 PP20609,2,,160000,014949361160,,$35.99 ,$12.11 ,,$60.55 ,
16,16,3/28/2016,02797UT,COREOPSIS VERT ZAGREB,QT,,160000,014949122624,,$9.99 ,$3.09 ,,$49.44 ,
9,9,5/1/2016,074801S,CORNUS S ARCTIC FIRE TM P18523,1S,,160000,014949335857,,$27.99 ,$9.50 ,,$85.50 ,
10,10,5/1/2016,028501,COT APICULATUS,1,,160000,014949285015,,$17.99 ,$6.18 ,,$61.80 ,
10,10,5/1/2016,031611,DICENTRA X LUXURIANT,1,,160000,014949316115,,$14.99 ,$4.99 ,,$49.90 ,
10,10,5/1/2016,087021,ECHINACEA CHEYENNE SPIRIT,1,,160000,014949368589,,$16.99 ,$5.70 ,,$57.00 ,
9,9,5/1/2016,087021,ECHINACEA CHEYENNE SPIRIT,1,,160000,014949368589,,$16.99 ,$5.70 ,,$51.30 ,
2,2,4/1/2016,036281,ECHINACEA SUNDOWN TM PP17659,1,,160000,014949211670,,$19.99 ,$6.89 ,,$13.78 ,
10,10,5/1/2016,057301,ECHINACEA TOMATO SOUP PPAF,1,,160000,014949322796,,$19.99 ,$6.89 ,,$68.90 ,
6,6,5/1/2016,019311,EUO A COLE'S COMPACT,1,,160000,014949015636,,$17.99 ,$6.18 ,,$37.08 ,
6,6,5/1/2016,034302,EUO F GOLDEN PRINCE R,2,,160000,014949343029,,$38.99 ,$13.30 ,,$79.80 ,
6,6,5/1/2016,019202,EUO F SUNRISE PP12341,2,,160000,014949015421,,$39.99 ,$13.78 ,,$82.68 ,
10,10,6/1/2016,412631,GAILLARDIA FANFARE CITRNLA PAF,1,,160000,014949423547,,$16.99 ,$5.70 ,,$57.00 ,
15,15,5/1/2016,408831,GERANIUM MISS HEIDI PPAF,1,,160000,014949413975,,$15.99 ,$5.46 ,,$81.90 ,
10,10,5/1/2016,028051,GR-ERIANTHUS RAVENNAE,1,,160000,014949280515,,$18.99 ,$6.41 ,,$64.10 ,
10,10,5/1/2016,039971,GR-HELICTOTRICHON SEMPERVIRENS,1,,160000,014949399712,,$18.99 ,$6.41 ,,$64.10 ,
10,10,5/1/2016,083961,HEM CHICAGO APACHE,1,,160000,014949839614,,,$4.99 ,,$49.90 ,
10,10,5/1/2016,040571,HEM RED RUM,1,,160000,014949405710,,$14.99 ,$4.99 ,,$49.90 ,
10,10,5/1/2016,037541,HEUCHERA OBSIDIAN PP14836,1,,160000,014949249277,,$21.99 ,$7.84 ,,$78.40 ,
