Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
,013835,BUXUS MIC WINTER GEM,,,,,,,,,
,056232,VACC BOUNTIFUL BLUE R PP19381,,,,,,,,,
,071602,ROSA FLWR CAR R RED P11308,,,,,,,,,
,013832,BUXUS MIC WINTER GEM,,,,,,,,,
,092755,HYD BLUE ENCHANTRESS R PP25209,,,,,,,,,
,036312,ROSA FLWR CAR R SCARLET P17373,,,,,,,,,
,079382,RUBUS RSPBRY SHRTCKE TM P22141,,,,,,,,,
,070212,ROSA FLWR CAR R WHITE P9573,,,,,,,,,
,013837,BUXUS MIC WINTER GEM,,,,,,,,,
,064271,GR-PENN SET RUBRUM,,,,,,,,,
,036292,ROSA FLWR CAR R AMBER PPAF,,,,,,,,,
,035232,BER T GOLDEN RUBY R PP16203,,,,,,,,,
,092752,HYD BLUE ENCHANTRESS R PP25209,,,,,,,,,
,017313,HYD M ENDLESS SUMMER R PP15298,,,,,,,,,
,036382,ROSA FLWR CAR R PNK SUP P16276,,,,,,,,,
,030902S,ROSA KNCK OUT R DBL RD P16202,,,,,,,,,
,047305SP,JUN C SPARTAN,,,,,,,,,
,013831,BUXUS MIC WINTER GEM,,,,,,,,,
,013833,BUXUS MIC WINTER GEM,,,,,,,,,
,013825CN,BUXUS GREEN MOUNTAIN,,,,,,,,,
,003151,ASPARAGUS MYERS,,,,,,,,,
,013893,BUXUS GREEN VELVET,,,,,,,,,
,031721,CORDYLINE BAUERI,,,,,,,,,
,013895,BUXUS GREEN VELVET,,,,,,,,,
,013835CN,BUXUS MIC WINTER GEM,,,,,,,,,
,013825,BUXUS GREEN MOUNTAIN,,,,,,,,,
,030903S,ROSA KNCK OUT R DBL RD P16202,,,,,,,,,
,042072,HYD MAC PINK ELF R (PIA),,,,,,,,,
,000755,ACER PAL BLOODGOOD,,,,,,,,,
,070051ST,TRACH JASMINOIDES,,,,,,,,,
,062005,ENSETE MAURELII,,,,,,,,,
,059439,MAG G LITTLE GEM,,,,,,,,,
,009805,RHOD (H-1) P.J.M.,,,,,,,,,
,035205,EUO J SILVER KING,,,,,,,,,
,069782,ROSA FLWR CAR R PINK,,,,,,,,,
,030509,CUP LEYLANDII,,,,,,,,,
,008999,LAG NATCHEZ,,,,,,,,,
,028045,GR-CORT IVORY FEATHERS R,,,,,,,,,
,099571,AGAPANTHUS BABY PETE TMPP21705,,,,,,,,,
,073015,THUJA OC EMERALD,,,,,,,,,
,064625,PICEA GL CONICA,,,,,,,,,
,047075,PAEONIA ITOH YUMI TM (YLW),,,,,,,,,
,060439,MAG G BRACKENS BROWN BEAUTY,,,,,,,,,
,034805,EUO J AUREO MARGINATUS,,,,,,,,,
,036671,GR-FESTUCA GLAUCA ELIJAH BLUE,,,,,,,,,
,062225,NAND D SIENNA SUNRISE R P14693,,,,,,,,,
