Category,item,Description
Perennials,05901UT,ACAENA INERMIS PURPUREA
Perennials,89342,ACALYPHA HISPIDA
Perennials,89332,ACALYPHA TIKI TM PEACH WHIRL
Perennials,401,ACANTHUS OAK LEAF
Perennials,402,ACANTHUS OAK LEAF
Perennials,405,ACANTHUS OAK LEAF
Perennials,58241,ACHILLEA APRICOT DLGHT PP18738
Perennials,05856UT,ACHILLEA MILL APPLEBLOSSOM
Perennials,00134UT,ACHILLEA MILL PAPRIKA
Perennials,1341,ACHILLEA MILL PAPRIKA
Perennials,29061,ACHILLEA MILL RED VELVET
Perennials,00624UT,ACHILLEA MILL SUMMER BERRIES
Perennials,6241,ACHILLEA MILL SUMMER BERRIES
Perennials,02496UT,ACHILLEA MILL SUMMERWINE
Perennials,24961,ACHILLEA MILL SUMMERWINE
Perennials,00047UT,ACHILLEA MILL TERRA COTTA
Perennials,471,ACHILLEA MILL TERRA COTTA
Perennials,511,ACHILLEA OERTEL'S ROSE
Perennials,421,ACHILLEA PINK GRAPEFRUIT PPAF
Perennials,58251,ACHILLEA STRWBRY SDCTN P18401
Perennials,00056UT,ACHILLEA X CORONATION GOLD
Perennials,561,ACHILLEA X CORONATION GOLD
Perennials,1351,ACHILLEA X MOONSHINE
Perennials,01837UT,AEGOPODIUM POD VARIEGATUM
Perennials,05847UT,AGASTACHE AUR APRICOT SPRITE
Perennials,58471,AGASTACHE AUR APRICOT SPRITE
Perennials,79311,AGASTACHE CORONADO R RED
Perennials,72691,AGASTACHE FOEN GOLDEN JUBILEE
Perennials,6251,AGASTACHE GRAPE NECTAR TM PPAF
Perennials,59041,AGASTACHE HEATWAVE PP19662
Perennials,59042,AGASTACHE HEATWAVE PP19662
Perennials,6341,AGASTACHE ORANGE NECTAR TM PAF
Perennials,58511,AGASTACHE RUP APACHE SUNSET
Perennials,54381,AGASTACHE SUMMER FIESTA PPAF
Perennials,80081,AGASTACHE SUMMER LOVE PP20510
Perennials,21251,AGASTACHE X BLUE FORTUNE
Perennials,21252,AGASTACHE X BLUE FORTUNE
Perennials,84921,AGASTACHE X BOLERO
Perennials,08030UT,AJUGA CHOCOLATE CHIP
Perennials,80301,AJUGA CHOCOLATE CHIP
Perennials,00189UT,AJUGA REPTANS BRONZE BEAUTY
Perennials,1891,AJUGA REPTANS BRONZE BEAUTY
Perennials,00059UT,AJUGA REPTANS BURGUNDY GLOW
Perennials,591,AJUGA REPTANS BURGUNDY GLOW
Perennials,00193UT,AJUGA REPTANS CATLIN'S GIANT
Perennials,1931,AJUGA REPTANS CATLIN'S GIANT
Perennials,04868UT,ALCHEMILLA ALPINA
Perennials,2011,ALCHEMILLA MOLLIS AUSLESE
Perennials,00067UT,ALCHEMILLA MOLLIS THRILLER
Perennials,06389UT,ALOYSIA TRIPHYLLA
Perennials,21421,ALYSSUM SAX GOLDKUGEL
Perennials,70541,AMSONIA BLUE ICE
Perennials,35341,AMSONIA HUBRICHTII
Perennials,00257UT,ANDROSACE LANUGINOSA
Perennials,2571,ANDROSACE LANUGINOSA
Perennials,47861,ANEMONE MULTIFIDA RUBRA
Perennials,00074UT,ANEMONE PULSATILLA
Perennials,65991,ANEMONE SEPTEMBER CHARM
Perennials,2741,ANEMONE SYLVESTRIS
Perennials,761,ANEMONE VIT ROBUSTISSIMA
Perennials,26961,ANEMONE X ANDREA ATKINSON
Perennials,15931,ANEMONE X HONORINE JOBERT
Perennials,38561,ANEMONE X SERENADE
Perennials,39021,ANEMONE X WILD SWAN TM PP23132
Perennials,39022,ANEMONE X WILD SWAN TM PP23132
Perennials,45461,ANIGOZANTHOS BUSH PEARL
Perennials,47341,ANIGOZANTHOS BUSH SUNSET
Perennials,05908UT,AQUILEGIA C LITTLE LANTERNS
Perennials,37331,AQUILEGIA CAE ORIGAMI BLU & WT
Perennials,29351,AQUILEGIA CAE ORIGAMI MIX
Perennials,45921,AQUILEGIA CAE ORIGAMI PNK & WT
Perennials,36901,AQUILEGIA CAE ORIGAMI RED & WT
Perennials,04593UT,AQUILEGIA CAE ORIGAMI YELLOW
Perennials,45931,AQUILEGIA CAE ORIGAMI YELLOW
Perennials,75831,AQUILEGIA CANADENSIS
Perennials,00272UT,AQUILEGIA FLA CAMEO BLUE & WT
Perennials,20891,AQUILEGIA TEXAS GOLD
Perennials,05909UT,AQUILEGIA WINKY DBL RED & WT
Perennials,55482,ARALIA CORDATA GOTEMBA
Perennials,55485,ARALIA CORDATA GOTEMBA
Perennials,69071,ARCTO RAVERS R ARC OF FIRE TM
Perennials,77531,ARCTO RAVERS R BUMBLE BEE
Perennials,69091,ARCTO RAVERS R CHERRY FROST TM
Perennials,69111,ARCTO RAVERS R PEACHY MANGO TM
Perennials,69121,ARCTO RAVERS R PUMPKIN PIE TM
Perennials,77541,ARCTO RAVERS R STRAWBRY FIELDS
Perennials,51811,ARISAEMA FORMOSANUM (7057)
Perennials,51822,ARISAEMA TAIWANENSIS (7091)
Perennials,00304UT,ARMERIA MAR BLOODSTONE
Perennials,3041,ARMERIA MAR BLOODSTONE
Perennials,00269UT,ARMERIA MAR COTTON TAIL
Perennials,2691,ARMERIA MAR COTTON TAIL
Perennials,01946UT,ARMERIA MAR RUBRIFOLIA
Perennials,19461,ARMERIA MAR RUBRIFOLIA
Perennials,00089UT,ARMERIA MAR SPLENDENS
Perennials,07593UT,ARTEMISIA DRACUNCULUS
Perennials,00311UT,ARTEMISIA POWIS CASTLE
Perennials,3111,ARTEMISIA POWIS CASTLE
Perennials,00101UT,ARTEMISIA SCHM SILVER MOUND
Perennials,1011,ARTEMISIA SCHM SILVER MOUND
Perennials,33591,ASARUM EUROPAEUM
Perennials,02912UT,ASARUM SPL QUICKSILVER
Perennials,29121,ASARUM SPL QUICKSILVER
Perennials,66341,ASCLEPIAS CUR SILKY GOLD
Perennials,66342,ASCLEPIAS CUR SILKY GOLD
Perennials,23592,ASCLEPIAS INCARNATA CINDERELLA
Perennials,21911,ASCLEPIAS RED BUTTERFLIES
Perennials,21912,ASCLEPIAS RED BUTTERFLIES
Perennials,003161S,ASCLEPIAS TUBEROSA
Perennials,3451,ASPIDISTRA ELATIOR
Perennials,3452,ASPIDISTRA ELATIOR
Perennials,05185UT,ASTELIA CHATHAMICA
Perennials,3401,ASTER ALMA POTSCHKE
Perennials,30091,ASTER FARMINGTON PPAF
Perennials,030091S,ASTER FARMINGTON PPAF
Perennials,3381,ASTER FRIKARTII MOENCH
Perennials,21361,ASTER LAT PRINCE
Perennials,59141,ASTER NA ENGLISH COUNTRYSIDE
Perennials,3391,ASTER NOVI-BELGII ALERT
Perennials,3471,ASTER PROF KIPPENBURG
Perennials,3411,ASTER PURPLE DOME
Perennials,3611,ASTER TRIUMPH
Perennials,23891,ASTER WOOD'S BLUE
Perennials,1531,ASTER WOOD'S PINK
Perennials,25581,ASTER WOOD'S PURPLE
Perennials,00159UT,ASTILBE BRIDAL VEIL
Perennials,1591,ASTILBE BRIDAL VEIL
Perennials,3521,ASTILBE CHINENSIS PUMILA
Perennials,3621,ASTILBE CHINENSIS VISIONS
Perennials,27551,ASTILBE CLR FLSH R LIME P17816
Perennials,27501,ASTILBE COLOR FLASH R PP17343
Perennials,00351UT,ASTILBE DEUTSCHLAND
Perennials,3511,ASTILBE DEUTSCHLAND
Perennials,00350UT,ASTILBE FANAL
Perennials,3501,ASTILBE FANAL
Perennials,1621,ASTILBE GRANAT
Perennials,00163UT,ASTILBE HENNIE GRAAFLAND
Perennials,1631,ASTILBE HENNIE GRAAFLAND
Perennials,00348UT,ASTILBE INSHRIACH PINK
Perennials,3481,ASTILBE INSHRIACH PINK
Perennials,1641,ASTILBE JAPONICA EUROPA
Perennials,1661,ASTILBE JAPONICA PEACH BLOSSOM
Perennials,34331,ASTILBE MAGGIE DALEY
Perennials,1671,ASTILBE MONTGOMERY
Perennials,1681,ASTILBE RED SENTINEL
Perennials,00354UT,ASTILBE RHEINLAND
Perennials,3541,ASTILBE RHEINLAND
Perennials,00353UT,ASTILBE SPRITE
Perennials,59151,ASTILBE VISION IN PINK PP11860
Perennials,16341,ASTILBE VISION IN RED PP11965
Perennials,17601,ASTILBE VISION IN WHITE P18965
Perennials,37391,ASTILBE WHT SENSATION PP18462
Perennials,3431,ASTILBE YOUNIQUE WHT TM P19845
Perennials,23191,ASTRANTIA ABBEY ROAD PP14961
Perennials,3551,AUBRIETA ROKEY'S PURPLE
Perennials,2191,BAPTISIA AUSTRALIS
Perennials,2192,BAPTISIA AUSTRALIS
Perennials,2771,BAPTISIA 'CAROLINA MOONLIGHT'
Perennials,2781,BAPTISIA 'PURPLE SMOKE'
Perennials,2791,BAPTISIA 'WAYNE'S WORLD'
Perennials,06402UT,BASIL PESTO PERPETUO PP16260
Perennials,64021,BASIL PESTO PERPETUO PP16260
Perennials,50021,BEESIA DELTOPHYLLA
Perennials,50022,BEESIA DELTOPHYLLA
Perennials,05917UT,BELLIS PERENNIS ROMINETTE MIX
Perennials,22021,BERGENIA COR WINTERGLOW
Perennials,12271,BERGENIA CORDIFOLIA
Perennials,25271,BERLANDIERA LYRATA
Perennials,59241,BOLTONIA AS V JIM CROCKETT
Perennials,35381,BRUNNERA MAC JACK FROST P13859
Perennials,13651,BRUNNERA MAC VARIEGATA
Perennials,77561,CALAMINTHA NEP MONTROSE WHITE
Perennials,14501,CALYLOPHUS DRUM SUNDROPS
Perennials,25791,CAMPANULA BLU WATERFALL P13161
Perennials,02235UT,CAMPANULA CAR DEEP BLUE CLIPS
Perennials,05926UT,CAMPANULA PER CHETTLE CHARM
Perennials,048951S,CAMPANULA PINK OCTOPUS PPAF
Perennials,22361,CAMPANULA PORTENSCHLAGIANA
