Loc,New Plant,Item,Size,Plant Name,Common Name,CAT,Zone,Qty Cfm,END CAP AVAIL,YOUR BOOKED QTY REMAIN,Condition,Current Specs,"QTY 
AVAIL NOW","2ND 
QTY 
AVAIL","2ND 
QTY 
READY DATE",2014 List Price,"YOUR 
20%
DISC PRICE",Freight,Landed Price,YOUR RETAIL PRICE,SKU,UPC#,,,
CA,2011,074391S,SuperOne TM,ABELIA CHIN RUBY ANNIV TM PPAF,Ruby Anniversary™  Abelia,EVS,05,     ,,,-,"8""H - 10""S", 31 ,     ,          , 9.50 , 7.60 , 0.82 , 8.42 ,     ,,014949335604,,,
CA,    ,028342,#2,ABELIA GRA KALEIDOSCOPE P16988,Kaleidoscope Abelia                                         ,EVS,06,     ,#REF!,,-,"12""H - 12""S"," 1,022 ",     ,          , 16.00 , 12.80 , 1.24 , 14.04 ,     ,,014949063200,,,
CA,    ,000091,#1,ABELIA PROSTRATA,Prostrate White Abelia                                      ,EVS,06,     ,,,-,"8""H - 10""S", 51 ,,, 5.50 , 4.40 , 0.49 , 4.89 ,     ,,014949000915,,,
OR,    ,020695,#5,ABELIOPHYLLUM DIS ROSEUM,Pink Forsythia                                              ,DCS,05,     ,,,FULL BLOOM,"15""H - 16""S", 7 ,     ,          , 19.25 , 15.40 , 2.30 , 17.70 ,     ,,014949054710,,,
OR,    ,000082,#2,ABIES BALSAMEA NANA,Dwarf Balsam Fir                                            ,CON,03,     ,,,-,"12""S", 98 ,     ,          , 21.50 , 17.20 , 1.15 , 18.35 ,     ,,014949000823,,,
OR,    ,019341,#1,ABIES LAS GLAUCA COMPACTA,Dwarf Blue Subalpine Fir                                    ,CON,03,     ,,,-,"6""H", 186 ,     ,          , 10.75 , 8.60 , 0.46 , 9.06 ,     ,,014949015728,,,
CA,    ,000405,#5,ACANTHUS OAK LEAF,Grecian Pattern Plant                                       ,PRN,06,     ,#REF!,,-,"15""H", 37 ,     ,          , 23.00 , 18.40 , 2.47 , 20.87 ,     ,,014949004050,,,
OR,2010,030345,#5,ACER CIR MONROE,Monroe Vine Maple                                           ,TRE,06,     ,,,BREAKING DORMANCY,"30""H",     , 11 ,05/01/14  , 54.00 , 43.20 , 2.30 , 45.50 ,     ,,014949193419,,,
OR,    ,000445,#5,ACER GRISEUM,Paperbark Maple                                             ,TRE,05,     ,,,BREAKING DORMANCY,"62""H", 129 ,     ,          , 33.00 , 26.40 , 2.30 , 28.70 ,     ,,014949004456,,,
OR,    ,036235,#5,ACER NEGUNDO KELLY'S GOLD,Kelly's Gold Boxelder Maple                                 ,TRE,05,     ,,,BUDS & BLOOMS,"56""H", 16 ,     ,          , 27.00 , 21.60 , 2.30 , 23.90 ,     ,,014949211045,,,
