Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code,2014 List Price,Condition,Current Specs,Qty Allocated,Min Order Qty,Available         ,Available Later,On,Available Later,On,Available Later,On
CT,2012,078741,#1,DELOSPERMA FIRE SPINNER R,Delosperma 'P001S'                                          ,Fire Spinner®  Ice Plant,Ground cover,CAC,05,PLC, 4.95 ,,,     , 10 ,     , 504 ,04/15/14  , 642 ,05/01/14  ,     ,          
CT,    ,40149UT,LittleOne,DELOSPERMA FLOR STARBURST,                                                            ,                                                            ,Ground cover,CAC,05,, 2.50 ,,,     , 16 ,     , 328 ,04/15/14  ,     ,          ,     ,          
CT,2011,075841,#1,DELOSPERMA NUBIGENUM,Delosperma nubigenum                                        ,Hardy Yellow Ice Plant                                      ,Ground cover,CAC,05,, 4.95 ,,,     , 10 ,     , 504 ,04/15/14  ,     ,          ,     ,          
CT,    ,029141,#1,SEDUM BLUE SPRUCE,Sedum reflexum 'Blue Spruce'                                ,Blue Spruce Stonecrop                                       ,Succulent/cactus/yucca,CAC,03,, 4.95 ,,,     , 10 ,     , 750 ,04/15/14  ,     ,          ,     ,          
CT,    ,092351S,SuperOne TM,SEDUM ELSIE GOLD,                                                            ,                                                            ,Succulent/cactus/yucca,CAC,04,, 7.95 ,,,     , 10 ,     , 501 ,04/15/14  ,     ,          ,     ,          
CT,    ,044871,#1,SEDUM RUP ANGELINA PPAF,Sedum rupestre 'Angelina'                                   ,Angelina Stonecrop                                          ,Succulent/cactus/yucca,CAC,03,OLD, 4.95 ,,,     , 10 ,     , 649 ,04/15/14  ,     ,          ,     ,          
CT,    ,04487UT,LittleOne,SEDUM RUP ANGELINA PPAF,Sedum rupestre 'Angelina'                                   ,Angelina Stonecrop                                          ,Succulent/cactus/yucca,CAC,03,OLD, 1.80 ,,,     , 16 ,     , 248 ,04/15/14  ,     ,          ,     ,          
CT,2013,087481,#1,SEDUM SSPKLR R CHERRY TART PAF,Sedum 'Cherry Tart' P.P.A.F.                                ,Sunsparkler®  Cherry Tart Stonecrop,Succulent/cactus/yucca,CAC,04,, 4.95 ,,,     , 10 ,     , 75 ,05/01/14  ,     ,          ,     ,          
CT,2013,087481S,SuperOne TM,SEDUM SSPKLR R CHERRY TART PAF,Sedum 'Cherry Tart' P.P.A.F.                                ,Sunsparkler®  Cherry Tart Stonecrop,Succulent/cactus/yucca,CAC,04,, 7.95 ,,,     , 10 ,     , 182 ,04/15/14  ,     ,          ,     ,          
CT,2013,007331S,SuperOne TM,SEDUM SSPRKLR R DZLBRY PP22457,"Sedum 'Razzleberry' P.P.# 22,457                            ",Sunsparkler®  Dazzleberry Sedum,Succulent/cactus/yucca,CAC,04,, 7.95 ,,,     , 10 ,     , 530 ,04/15/14  ,     ,          ,     ,          
