Branch,Item,Description,Category,"Click to
Edit","Ending
06/30/2014",Orders,Shipped,Remaining,"Allocation Avail
For Now Order","Open Avail
Now",Next Ready,"Open Avail
Season","Price
2014",History,Forecast
170000,74395,ABELIA CHIN RUBY ANNIV TM PPAF,EVS,+,35,-,-,35,-,-,3/15/2014,-,$19.50 ,-,-
170000,105,ABELIA EDWARD GOUCHER,EVS,+,15,-,-,15,15,-,,-,$18.75 ,9,-
170000,28342,ABELIA GRA KALEIDOSCOPE P16988,EVS,+,7,-,7,-,-,-,,-,$16.00 ,299,-
170000,28345,ABELIA GRA KALEIDOSCOPE P16988,EVS,+,32,32,-,-,-,-,3/1/2014,-,$20.50 ,10,-
170000,91,ABELIA PROSTRATA,EVS,+,50,-,-,50,-,-,3/15/2014,61,$5.50 ,155,-
170000,95,ABELIA PROSTRATA,EVS,+,20,10,-,10,10,113,,113,$18.75 ,-,-
170000,405,ACANTHUS OAK LEAF,PRN,+,40,40,-,-,-,-,3/15/2014,42,$23.00 ,45,-
170000,58241,ACHILLEA APRICOT DLGHT PP18738,PRN,+,20,-,-,20,20,363,4/1/2014,723,$4.75 ,-,-
170000,1461,ACTINIDIA CH TOMURI (MALE),VIN,+,4,4,-,-,-,-,4/1/2014,-,$11.00 ,-,-
170000,1411,ACTINIDIA CH VINCENT (FEMALE),VIN,+,10,-,-,10,10,-,,-,$11.00 ,-,-
170000,1415,ACTINIDIA CH VINCENT (FEMALE),VIN,+,5,-,-,5,5,-,,-,$28.50 ,-,-
170000,1491,ACTINIDIA KOLOMIKTA,VIN,+,16,6,-,10,10,-,4/1/2014,-,$11.00 ,-,-
170000,1651,AGAPANTHUS AFRICANUS,EVS,+,40,-,-,40,40,836,,836,$5.00 ,40,-
170000,1881,AGAPANTHUS X MIDKNIGHT BLUE R,DCS,+,120,25,-,95,-,-,3/15/2014,"3,535",$7.00 ,66,-
170000,1882,AGAPANTHUS X MIDKNIGHT BLUE R,DCS,+,29,20,-,9,-,-,3/15/2014,-,$15.50 ,20,-
170000,1885,AGAPANTHUS X MIDKNIGHT BLUE R,DCS,+,20,-,-,20,-,-,3/15/2014,50,$22.50 ,15,-
170000,58471,AGASTACHE AUR APRICOT SPRITE,PRN,+,18,18,-,-,-,-,5/1/2014,-,$4.75 ,20,-
170000,59041,AGASTACHE HEATWAVE PP19662,PRN,+,17,17,-,-,-,-,3/15/2014,15,$4.75 ,20,-
170000,74722,AGAVE ATTENUATA RAY OF LIGHT,CAC,+,7,5,-,2,2,-,5/1/2014,-,$17.75 ,5,-
170000,74725,AGAVE ATTENUATA RAY OF LIGHT,CAC,+,3,-,-,3,3,19,5/1/2014,19,$22.00 ,-,-
170000,74122,AGAVE BRACTEOSA CALAMAR,CAC,+,35,21,-,14,14,584,5/1/2014,"1,194",$17.75 ,-,-
170000,21595,AGAVE DESMETTIANA VARIEGATA,CAC,+,5,5,-,-,-,-,,-,$22.00 ,23,-
170000,74132,AGAVE DURANGO,CAC,+,6,6,-,-,-,-,,-,$17.75 ,10,-
170000,68812,AGAVE POTATORUM KISSHO KAN,CAC,+,45,20,-,25,25,121,,121,$17.75 ,42,-
170000,74172,AGAVE UTAHENSIS SSP UTAHENSIS,CAC,+,8,8,-,-,-,-,4/1/2014,-,$17.75 ,2,-
170000,25242,AGAVE VICTORIA-REGINAE,CAC,+,2,2,-,-,-,-,5/1/2014,64,$17.75 ,41,-
170000,1995,ALBIZIA J SUMMER CHOC PP13822,TRE,+,30,30,-,-,-,109,,109,$33.00 ,28,-
170000,64081,ALOE BLUE ELF,CAC,+,11,11,-,-,-,-,,-,$6.25 ,40,-
170000,63801,ALOE DOROTHEAE,CAC,+,25,25,-,-,-,291,4/1/2014,291,$7.00 ,30,-
170000,77801,ALOE HYBRID CARMINE TM,CAC,+,10,10,-,-,-,146,4/1/2014,146,$8.00 ,50,-
170000,63791,ALOE HYBRID CHRISTMAS CAROL,CAC,+,25,25,-,-,-,-,4/1/2014,864,$8.00 ,46,-
170000,77811,ALOE HYBRID DONNIE TM,CAC,+,25,25,-,-,-,133,4/1/2014,142,$8.00 ,50,-
