Loc,Item,Plant Name,CAT,Zone,,,,,,,,
170000,000172ST,ABUTILON ALBUS,EVS,09,,,,,,,,
170000,000175ST,ABUTILON ALBUS,EVS,09,,,,,,,,
170000,000152ST,ABUTILON LUTEUS,EVS,09,,,,,,,,
170000,000155ST,ABUTILON LUTEUS,EVS,09,,,,,,,,
170000,000132ST,ABUTILON ROSEUS,EVS,09,,,,,,,,
170000,000135PT,ABUTILON ROSEUS,EVS,09,,,,,,,,
170000,000135ST,ABUTILON ROSEUS,EVS,09,,,,,,,,
170000,000202ST,ABUTILON SUPER RED R,EVS,09,,,,,,,,
170000,000205PT,ABUTILON SUPER RED R,EVS,09,,,,,,,,
170000,000205ST,ABUTILON SUPER RED R,EVS,09,,,,,,,,
170000,098612ST,ABUTILON TIGER EYE,EVS,09,,,,,,,,
160000,058241,ACHILLEA APRICOT DLGHT PP18738,PRN,03,,,,,,,,
170000,058241,ACHILLEA APRICOT DLGHT PP18738,PRN,03,,,,,,,,
160000,407531,ACHILLEA MILL PRETTY BELINDA,PRN,03,,,,,,,,
160000,029061,ACHILLEA MILL RED VELVET,PRN,03,,,,,,,,
160000,000511,ACHILLEA OERTEL'S ROSE,PRN,03,,,,,,,,
160000,001351,ACHILLEA X MOONSHINE,PRN,03,,,,,,,,
170000,001351,ACHILLEA X MOONSHINE,PRN,03,,,,,,,,
160000,096081,ACTINIDIA ARG HARDY MALE,VIN,04,,,,,,,,
160000,096085,ACTINIDIA ARG HARDY MALE,VIN,04,,,,,,,,
160000,001391,ACTINIDIA ARG ISSAI (FEMALE),VIN,04,,,,,,,,
170000,001391,ACTINIDIA ARG ISSAI (FEMALE),VIN,04,,,,,,,,
160000,001395,ACTINIDIA ARG ISSAI (FEMALE),VIN,04,,,,,,,,
170000,001395,ACTINIDIA ARG ISSAI (FEMALE),VIN,04,,,,,,,,
170000,001411,ACTINIDIA CH VINCENT (FEMALE),VIN,08,,,,,,,,
170000,001415,ACTINIDIA CH VINCENT (FEMALE),VIN,08,,,,,,,,
170000,075041,AEONIUM ARBORESCENS TIP TOP TM,CAC,09,,,,,,,,
170000,063581,AEONIUM KIWI,CAC,09,,,,,,,,
170000,035282,AGAPANTHUS AFR SUN STRIPE R,EVS,08,,,,,,,,
170000,001651,AGAPANTHUS AFRICANUS,EVS,08,,,,,,,,
170000,001655,AGAPANTHUS AFRICANUS,EVS,08,,,,,,,,
170000,099571,AGAPANTHUS BABY PETE TMPP21705,EVS,08,,,,,,,,
160000,050011,AGAPANTHUS BLUE LEAP,DCS,07,,,,,,,,
160000,050012,AGAPANTHUS BLUE LEAP,DCS,07,,,,,,,,
170000,001732,AGAPANTHUS BLUE STORM PP14332,EVS,08,,,,,,,,
160000,050002,AGAPANTHUS INAPTERUS GRASKOP,DCS,07,,,,,,,,
170000,050002,AGAPANTHUS INAPTERUS GRASKOP,DCS,07,,,,,,,,
170000,001751,AGAPANTHUS PETER PAN,EVS,08,,,,,,,,
170000,001752,AGAPANTHUS PETER PAN,EVS,08,,,,,,,,
170000,001801,AGAPANTHUS QUEEN ANNE-DIVISION,EVS,08,,,,,,,,
170000,001805,AGAPANTHUS QUEEN ANNE-DIVISION,EVS,08,,,,,,,,
170000,001912,AGAPANTHUS SNOWSTORM TM P12554,EVS,08,,,,,,,,
170000,038592,AGAPANTHUS STORM CLOUD,DCS,07,,,,,,,,
170000,059041,AGASTACHE HEATWAVE PP19662,PRN,05,,,,,,,,
170000,412511,AGASTACHE KUDOS CORAL PPAF,PRN,05,,,,,,,,
160000,412521,AGASTACHE KUDOS GOLD PPAF,PRN,05,,,,,,,,
170000,412521,AGASTACHE KUDOS GOLD PPAF,PRN,05,,,,,,,,
160000,021251,AGASTACHE X BLUE FORTUNE,PRN,05,,,,,,,,
170000,021251,AGASTACHE X BLUE FORTUNE,PRN,05,,,,,,,,
170000,074725,AGAVE ATTENUATA RAY OF LIGHT,CAC,09,,,,,,,,
170000,074122,AGAVE BRACTEOSA CALAMAR,CAC,08,,,,,,,,
170000,074132,AGAVE DURANGO,CAC,08,,,,,,,,
170000,068812,AGAVE POTATORUM KISSHO KAN,CAC,09,,,,,,,,
160000,080301,AJUGA CHOCOLATE CHIP,PRN,04,,,,,,,,
170000,080301,AJUGA CHOCOLATE CHIP,PRN,04,,,,,,,,
160000,08030UT,AJUGA CHOCOLATE CHIP,PRN,04,,,,,,,,
160000,00189UT,AJUGA REPTANS BRONZE BEAUTY,PRN,04,,,,,,,,
160000,000591,AJUGA REPTANS BURGUNDY GLOW,PRN,04,,,,,,,,
170000,000591,AJUGA REPTANS BURGUNDY GLOW,PRN,04,,,,,,,,
160000,002591,AKEBIA QUINATA,VIN,05,,,,,,,,
160000,002595,AKEBIA QUINATA,VIN,05,,,,,,,,
160000,002561,AKEBIA QUINATA SHIRO BANA,VIN,05,,,,,,,,
160000,002565,AKEBIA QUINATA SHIRO BANA,VIN,05,,,,,,,,
160000,04868UT,ALCHEMILLA ALPINA,PRN,03,,,,,,,,
170000,064081,ALOE BLUE ELF,CAC,09,,,,,,,,
170000,06408E,ALOE BLUE ELF,CAC,09,,,,,,,,
170000,063801,ALOE DOROTHEAE,CAC,10,,,,,,,,
170000,077801,ALOE HYBRID CARMINE TM,CAC,09,,,,,,,,
170000,063791,ALOE HYBRID CHRISTMAS CAROL,CAC,09,,,,,,,,
