Loc,Item,Description,Botanical Name,Common Name,,,,,,,,,,,,,,,,,
OR,048992,ABIES BAL TYLER'S BLUE,                                                            ,                                                            ,,,,,,,,,,,,,,,,,
OR,051315,ABIES CONCOLOR CANDICANS,Abies concolor 'Candicans'                                  ,Candicans White Fir                                         ,,,,,,,,,,,,,,,,,
OR,021565,ABIES HORSTMANN'S SILBERLOCKE,Abies koreana 'Horstmann's Silberlocke'                     ,Horstmann's Silberlocke Korean Fir                          ,,,,,,,,,,,,,,,,,
OR,019342,ABIES LAS GLAUCA COMPACTA,Abies lasiocarpa 'Glauca Compacta'                          ,Dwarf Blue Rocky Mountain Fir                               ,,,,,,,,,,,,,,,,,
OR,030345,ACER CIR MONROE,Acer circinatum 'Monroe'                                    ,Monroe Vine Maple                                           ,,,,,,,,,,,,,,,,,
OR,001285,ACER F AUTUMN BLAZE R,Acer x freemanii 'Jeffsred'                                 ,Autumn Blaze®  Maple,,,,,,,,,,,,,,,,,
OR,000485,ACER GIN RED RHAPSODY R,Acer ginnala 'Mondy'                                        ,Red Rhapsody®  Amur Maple,,,,,,,,,,,,,,,,,
OR,000525,ACER JAPONICUM ACONITIFOLIUM,Acer japonicum 'Aconitifolium'                              ,Fernleaf Full-Moon Maple                                    ,,,,,,,,,,,,,,,,,
OR,000555,ACER NEGUNDO FLAMINGO,Acer negundo 'Flamingo'                                     ,Flamingo Boxelder Maple                                     ,,,,,,,,,,,,,,,,,
OR,030355,ACER PAL AOYAGI,Acer palmatum 'Aoyagi'                                      ,Aoyagi Japanese Maple                                       ,,,,,,,,,,,,,,,,,
OR,001075,ACER PAL ATROLINEARE,                                                            ,                                                            ,,,,,,,,,,,,,,,,,
OR,000702,ACER PAL ATROPURPUREUM-S.,Acer palmatum 'Atropurpureum'                               ,Red-Leaf Japanese Maple                                     ,,,,,,,,,,,,,,,,,
OR,000705,ACER PAL ATROPURPUREUM-S.,Acer palmatum 'Atropurpureum'                               ,Red-Leaf Japanese Maple                                     ,,,,,,,,,,,,,,,,,
OR,000752,ACER PAL BLOODGOOD,Acer palmatum var. atropurpureum 'Bloodgood'                ,Bloodgood Japanese Maple                                    ,,,,,,,,,,,,,,,,,
OR,000802,ACER PAL BURGUNDY LACE,Acer palmatum var. atropurpureum 'Burgundy Lace'            ,Burgundy Lace Japanese Maple                                ,,,,,,,,,,,,,,,,,
OR,000805,ACER PAL BURGUNDY LACE,Acer palmatum var. atropurpureum 'Burgundy Lace'            ,Burgundy Lace Japanese Maple                                ,,,,,,,,,,,,,,,,,
OR,00080M,ACER PAL BURGUNDY LACE,Acer palmatum var. atropurpureum 'Burgundy Lace'            ,Burgundy Lace Japanese Maple                                ,,,,,,,,,,,,,,,,,
OR,000952ST,ACER PAL CRIMSON QUEEN,Acer palmatum var. dissectum 'Crimson Queen'                ,Crimson Queen Japanese Maple                                ,,,,,,,,,,,,,,,,,
OR,000955,ACER PAL CRIMSON QUEEN,Acer palmatum var. dissectum 'Crimson Queen'                ,Crimson Queen Japanese Maple                                ,,,,,,,,,,,,,,,,,
OR,000955ST,ACER PAL CRIMSON QUEEN,Acer palmatum var. dissectum 'Crimson Queen'                ,Crimson Queen Japanese Maple                                ,,,,,,,,,,,,,,,,,
OR,000959ST,ACER PAL CRIMSON QUEEN,Acer palmatum var. dissectum 'Crimson Queen'                ,Crimson Queen Japanese Maple                                ,,,,,,,,,,,,,,,,,
OR,00095M,ACER PAL CRIMSON QUEEN,Acer palmatum var. dissectum 'Crimson Queen'                ,Crimson Queen Japanese Maple                                ,,,,,,,,,,,,,,,,,
OR,000845,ACER PAL EMPEROR I R,Acer palmatum 'Wolff'                                       ,Emperor I®  Japanese Maple,,,,,,,,,,,,,,,,,
OR,00084M,ACER PAL EMPEROR I R,Acer palmatum 'Wolff'                                       ,Emperor I®  Japanese Maple,,,,,,,,,,,,,,,,,
OR,018345,ACER PAL OSAKAZUKI,Acer palmatum 'Osakazuki'                                   ,Osakazuki Japanese Maple                                    ,,,,,,,,,,,,,,,,,
OR,01834M,ACER PAL OSAKAZUKI,Acer palmatum 'Osakazuki'                                   ,Osakazuki Japanese Maple                                    ,,,,,,,,,,,,,,,,,
OR,001052,ACER PAL OSHIO BENI,Acer palmatum 'Oshio-Beni'                                  ,Oshio-Beni Japanese Maple                                   ,,,,,,,,,,,,,,,,,
OR,001055,ACER PAL OSHIO BENI,Acer palmatum 'Oshio-Beni'                                  ,Oshio-Beni Japanese Maple                                   ,,,,,,,,,,,,,,,,,
OR,00105M,ACER PAL OSHIO BENI,Acer palmatum 'Oshio-Beni'                                  ,Oshio-Beni Japanese Maple                                   ,,,,,,,,,,,,,,,,,
OR,001022,ACER PAL SANGOKAKU,Acer palmatum 'Sangokaku'                                   ,Coral Bark Japanese Maple                                   ,,,,,,,,,,,,,,,,,
OR,001212,ACER PAL SHAINA,Acer palmatum 'Shaina'                                      ,Shaina Japanese Maple                                       ,,,,,,,,,,,,,,,,,
OR,001215,ACER PAL SHAINA,Acer palmatum 'Shaina'                                      ,Shaina Japanese Maple                                       ,,,,,,,,,,,,,,,,,
OR,031825,ACER PAL SHIN DESHOJO,Acer palmatum 'Deshojo'                                     ,Deshojo Japanese Maple                                      ,,,,,,,,,,,,,,,,,
OR,018332,ACER PAL SHISHIGASHIRA,Acer palmatum 'Shishigashira'                               ,Shishigashira Japanese Maple                                ,,,,,,,,,,,,,,,,,
OR,018335,ACER PAL SHISHIGASHIRA,Acer palmatum 'Shishigashira'                               ,Shishigashira Japanese Maple                                ,,,,,,,,,,,,,,,,,
OR,033962,ACER PAL TROMPENBURG,Acer palmatum 'Trompenburg'                                 ,Trompenburg Japanese Maple                                  ,,,,,,,,,,,,,,,,,
OR,033965,ACER PAL TROMPENBURG,Acer palmatum 'Trompenburg'                                 ,Trompenburg Japanese Maple                                  ,,,,,,,,,,,,,,,,,
OR,03396M,ACER PAL TROMPENBURG,Acer palmatum 'Trompenburg'                                 ,Trompenburg Japanese Maple                                  ,,,,,,,,,,,,,,,,,
OR,000902ST,ACER PAL WATERFALL,Acer palmatum 'Waterfall'                                   ,Waterfall Japanese Maple                                    ,,,,,,,,,,,,,,,,,
OR,000905,ACER PAL WATERFALL,Acer palmatum 'Waterfall'                                   ,Waterfall Japanese Maple                                    ,,,,,,,,,,,,,,,,,
OR,00090M,ACER PAL WATERFALL,Acer palmatum 'Waterfall'                                   ,Waterfall Japanese Maple                                    ,,,,,,,,,,,,,,,,,
OR,000655,ACER PALMATUM,Acer palmatum                                               ,Japanese Maple                                              ,,,,,,,,,,,,,,,,,
OR,049585,ACER PSEUDO ESKIMO SUNSET,Acer pseudoplatanus 'Esk Sunset'                            ,Eskimo Sunset Sycamore Maple                                ,,,,,,,,,,,,,,,,,
OR,03033M,ACER SHIR AUTUMN MOON,Acer shirasawanum 'Autumn Moon'                             ,Autumn Moon Fullmoon Maple                                  ,,,,,,,,,,,,,,,,,
OR,058241,ACHILLEA APRICOT DLGHT PP18738,"Achillea millefolium 'Apricot Delight' P.P.# 18,738         ",Tutti Frutti Apricot Delight Yarrow                         ,,,,,,,,,,,,,,,,,
OR,407531,ACHILLEA MILL PRETTY BELINDA,Achillea millefolium 'Pretty Belinda'                       ,Pretty Belinda Yarrow                                       ,,,,,,,,,,,,,,,,,
OR,029061,ACHILLEA MILL RED VELVET,Achillea millefolium 'Red Velvet'                           ,Red Velvet Yarrow                                           ,,,,,,,,,,,,,,,,,
OR,000511,ACHILLEA OERTEL'S ROSE,Achillea millefolium 'Oertel's Rose'                        ,Oertel's Rose Yarrow                                        ,,,,,,,,,,,,,,,,,
OR,058251,ACHILLEA STRWBRY SDCTN P18401,"Achillea millefolium 'Strawberry Seduction' P.P.# 18,401    ",Strawberry Seduction Yarrow                                 ,,,,,,,,,,,,,,,,,
OR,096085,ACTINIDIA ARG HARDY MALE,Actinidia arguta (Male)                                     ,Hardy Kiwi (Male)                                           ,,,,,,,,,,,,,,,,,
OR,001395,ACTINIDIA ARG ISSAI (FEMALE),Actinidia arguta 'Issai' (Self-fertile female)              ,Hardy Kiwi Vine                                             ,,,,,,,,,,,,,,,,,
OR,056411,ACTINIDIA TETRA  VAR MALOIDES,Actinidia tetramera var. maloides                           ,Rosy Crabapple Kiwi                                         ,,,,,,,,,,,,,,,,,
OR,056415,ACTINIDIA TETRA  VAR MALOIDES,Actinidia tetramera var. maloides                           ,Rosy Crabapple Kiwi                                         ,,,,,,,,,,,,,,,,,
OR,028895,AESCULUS X ARN AUTUMN SPLENDOR,Aesculus x arnoldiana 'Autumn Splendor'                     ,Autumn Splendor Horse Chestnut                              ,,,,,,,,,,,,,,,,,
OR,050011,AGAPANTHUS BLUE LEAP,Agapanthus 'Blue Leap'                                      ,Blue Leap Lily of the Nile                                  ,,,,,,,,,,,,,,,,,
